time,latitude,chl
2024-03-07,44.75,0.331575
2024-03-07,45.0,0.327059
2024-03-07,45.25,0.314732
2024-03-07,45.5,0.303547
2024-03-07,45.75,0.296354
2024-03-07,46.0,0.29171
2024-03-07,46.25,0.291702
2024-03-07,46.5,0.291371
2024-03-07,46.75,0.287269
2024-03-07,47.0,0.279727
2024-03-07,47.25,0.290853
2024-03-07,47.5,0.292436
2024-03-07,47.75,0.246624
2024-03-07,48.0,0.243855
2024-03-07,48.25,0.25628
2024-03-07,48.5,0.257476
2024-03-07,48.75,0.257877
2024-03-07,49.0,0.261777
2024-03-07,49.25,0.267177
2024-03-07,49.5,0.277716
2024-03-07,49.75,0.27633
2024-03-07,50.0,0.283924
2024-03-07,50.25,0.281272
2024-03-07,50.5,0.275725
2024-03-07,50.75,0.26495
2024-03-07,51.0,0.267919
2024-03-07,51.25,0.270327
2024-03-07,51.5,0.268875
2024-03-07,51.75,0.27577
2024-03-07,52.0,0.276404
2024-03-07,52.25,0.281555
2024-03-07,52.5,0.269292
2024-03-07,52.75,0.263214
2024-03-07,53.0,0.269989
2024-03-07,53.25,0.275058
2024-03-07,53.5,0.271142
2024-03-07,53.75,0.252291
2024-03-07,54.0,0.233097
2024-03-07,54.25,0.222334
2024-03-07,54.5,0.212765
2024-03-07,54.75,0.203903
2024-03-07,55.0,0.189735
2024-03-07,55.25,0.177412
2024-03-07,55.5,0.169099
2024-03-07,55.75,0.165
2024-03-07,56.0,0.159959
2024-03-07,56.25,0.154148
2024-03-07,56.5,0.153244
2024-03-07,56.75,0.151739
2024-03-07,57.0,0.152095
2024-03-07,57.25,0.151359
2024-03-07,57.5,0.146305
2024-03-07,57.75,0.140764
2024-03-07,58.0,0.124545
2024-03-07,58.25,0.120429
2024-03-07,58.5,0.127156
2024-03-07,58.75,0.130961
2024-03-07,59.0,0.126328
2024-03-07,59.25,0.14245
2024-03-07,59.5,0.153238
2024-03-07,59.75,0.166833
2024-03-07,60.0,0.183165
2024-03-07,60.25,0.189124
2024-03-07,60.5,0.186077
2024-03-07,60.75,0.201379
2024-03-07,61.0,0.196175
2024-03-07,61.25,0.168693
2024-03-07,61.5,0.171787
2024-03-07,61.75,0.171752
2024-03-07,62.0,0.162976
2024-03-07,62.25,0.176655
2024-03-07,62.5,0.178124
2024-03-07,62.75,0.177614
2024-03-07,63.0,0.17486
2024-03-07,63.25,0.191117
2024-03-07,63.5,0.255621
2024-03-07,63.75,0.271207
2024-03-07,64.0,0.259586
2024-03-07,64.25,0.264563
2024-03-07,64.5,0.241158
2024-03-07,64.75,0.251493
2024-03-07,65.0,0.229754
2024-03-08,35.0,0.684947
2024-03-08,35.25,0.692476
2024-03-08,35.5,0.703196
2024-03-08,35.75,0.710233
2024-03-08,36.0,0.703616
2024-03-08,36.25,0.713088
2024-03-08,36.5,0.703574
2024-03-08,36.75,0.68906
2024-03-08,37.0,0.667826
2024-03-08,37.25,0.623329
2024-03-08,37.5,0.583674
2024-03-08,37.75,0.565479
2024-03-08,38.0,0.536808
2024-03-08,38.25,0.509389
2024-03-08,38.5,0.496796
2024-03-08,38.75,0.481199
2024-03-08,39.0,0.445997
2024-03-08,39.25,0.420923
2024-03-08,39.5,0.419217
2024-03-08,39.75,0.432154
2024-03-08,40.0,0.422393
2024-03-08,40.25,0.407319
2024-03-08,40.5,0.392117
2024-03-08,40.75,0.385874
2024-03-08,41.0,0.389067
